Index;Server Code;Client Code;English Name
209;bxcsa55;52120055;Dark Lucky Box<Large>
210;bxcsa56;52120056;Dark Lucky Box<Small>
211;bxcsa57;52120057;Dark Lucky Box<Medium>
212;bxcsa58;52120058;Dark Lucky Box<Large>
213;bxcsa59;52120059;Grace Lucky Box<Small>
214;bxcsa60;52120060;Grace Lucky Box<Medium>
215;bxcsa61;52120061;Grace Lucky Box<Large>
216;bxcsa62;52120062;Grace Lucky Box<Small>
217;bxcsa63;52120063;Grace Lucky Box<Medium>
218;bxcsa64;52120064;Grace Lucky Box<Large>
219;bxcsa65;52120065;Grace Lucky Box<Small>
220;bxcsa66;52120066;Grace Lucky Box<Medium>
221;bxcsa67;52120067;Grace Lucky Box<Large>
222;bxcsa68;52120068;Mercy Lucky Box<Small>
223;bxcsa69;52120069;Mercy Lucky Box<Medium>
224;bxcsa70;52120070;Mercy Lucky Box<Large>
225;bxcsa71;52120071;Mercy Lucky Box<Small>
226;bxcsa72;52120072;Mercy Lucky Box<Medium>
227;bxcsa73;52120073;Mercy Lucky Box<Large>
228;bxcsa74;52120074;Mercy Lucky Box<Small>
229;bxcsa75;52120075;Mercy Lucky Box<Medium>
230;bxcsa76;52120076;Mercy Lucky Box<Large>
231;bxcsa77;52120077;Level40 Award Box
232;bxcsa78;52120078;Level40 Award Box
233;bxcsa79;52120079;Leve40 Award Box
234;bxcsa80;52120080;Level45 Award Box
235;bxcsa81;52120081;Level45 Award Box
236;bxcsa82;52120082;Level45 Award Box
237;bxcsa83;52120083;Full Moon Box
238;bxcsa84;52120084;Full Moon Box
239;bxcsa85;52120085;Full Moon Box
240;bxcsa86;52120086;Lucky Chaos Box <Small> 
241;bxcsa87;52120087;Lucky Chaos Box <Medium> 
242;bxcsa88;52120088;Lucky Chaos Box <Large> 
243;bxcsa89;52120089;Lucky Chaos Box <Small> 
244;bxcsa90;52120090;Lucky Chaos Box <Medium> 
245;bxcsa91;52120091;Lucky Chaos Box <Large> 
246;bxcsa92;52120092;Lucky Chaos Box <Small> 
247;bxcsa93;52120093;Lucky Chaos Box <Medium> 
248;bxcsa94;52120094;Lucky Chaos Box <Large> 
249;bxcsa95;52120095;National Foundation Day
250;bxcsa96;52120096;National Foundation Day
251;bxcsa97;52120097;National Foundation Day
252;bxcsa98;52120098;Christmas Socks
253;bxcsa99;52120099;Christmas Socks
254;bxcsb00;52120100;Christmas Socks
255;bxcsb01;52120101;Elimental Amulet Gamble Box
256;bxcsb02;52120102;Elimental Amulet Gamble Box
257;bxcsb03;52120103;Elimental Amulet Gamble Box
258;bxcsb04;52120104;Elimental Amulet Gamble Box
259;bxcsb05;52120105;Elimental Amulet Gamble Box
260;bxcsb06;52120106;Elimental Amulet Gamble Box
261;bxcsb07;52120107;Elimental Amulet Gamble Box
262;bxcsb08;52120108;Elimental Amulet Gamble Box
263;bxcsb09;52120109;Elimental Amulet Gamble Box
264;bxcsb10;52120110;Elimental Ring Gamble Box
265;bxcsb11;52120111;Elimental Ring Gamble Box
266;bxcsb12;52120112;Elimental Ring Gamble Box
267;bxcsb13;52120113;Elimental Ring Gamble Box
268;bxcsb14;52120114;Elimental Ring Gamble Box
269;bxcsb15;52120115;Elimental Ring Gamble Box
270;bxcsb16;52120116;Elimental ring Gamble Box
271;bxcsb17;52120117;Elimental Ring Gamble Box
272;bxcsb18;52120118;Elimental Ring Gamble Box
273;bxcsb19;52120119;Herodian Gene information chip box
274;bxcsb20;52120120;Hunger Beast Earring Gamble Box
275;bxcsb21;52120121;Hunger Beast Earring Gamble Box
276;bxcsb22;52120122;Hunger Beast Earring Gamble Box
277;bxcsb23;52120123;Earring Gamble Box of Wiggled Beast Life
278;bxcsb24;52120124;Earring Gamble Box of Wiggled Beast Life
279;bxcsb25;52120125;Earring Gamble Box of Wiggled Beast Life
280;bxcsb26;52120126;Earring Gamble Box of Fierce Beast
281;bxcsb27;52120127;Earring Gamble Box of Fierce Beast
282;bxcsb28;52120128;Earring Gamble Box of Fierce Beast
283;bxcsb29;52120129;Exiled Plunderer's Earring Gamble Box
284;bxcsb30;52120130;Exiled Plunderer's Earring Gamble Box
285;bxcsb31;52120131;Exiled Plunderer's Earring Gamble Box
286;bxcsb32;52120132;Liberated Exile's Earring Gamble Box
287;bxcsb33;52120133;Liberated Exile's Earring Gamble Box
288;bxcsb34;52120134;Liberated Exile's Earring Gamble Box
289;bxcsb35;52120135;Dead Exile's Ring Gamble Box
290;bxcsb36;52120136;Dead Exile's Ring Gamble Box
291;bxcsb37;52120137;Dead Exile's Ring Gamble Box
292;bxcsb38;52120138;Jewelry Box
293;bxcsb39;52120139;Hunger Beast Earring Gamble Box
294;bxcsb40;52120140;Hunger Beast Earring Gamble Box
295;bxcsb41;52120141;Hunger Beast Earring Gamble Box
296;bxcsb42;52120142;Earring Gamble Box of Wiggled Beast Life
297;bxcsb43;52120143;Earring Gamble Box of Wiggled Beast Life
298;bxcsb44;52120144;Earring Gamble Box of Wiggled Beast Life
299;bxcsb45;52120145;Earring Gamble Box of Fierce Beast
300;bxcsb46;52120146;Earring Gamble Box of Fierce Beast
301;bxcsb47;52120147;Earring Gamble Box of Fierce Beast
302;bxcsb48;52120148;Exiled Plunderer's Earring Gamble Box
303;bxcsb49;52120149;Exiled Plunderer's Earring Gamble Box
304;bxcsb50;52120150;Exiled Plunderer's Earring Gamble Box
305;bxcsb51;52120151;Liberated Exile's Earring Gamble Box
306;bxcsb52;52120152;Liberated Exile's Earring Gamble Box
307;bxcsb53;52120153;Liberated Exile's Earring Gamble Box
308;bxcsb54;52120154;Dead Exile's Ring Gamble Box
309;bxcsb55;52120155;Dead Exile's Ring Gamble Box
310;bxcsb56;52120156;Dead Exile's Ring Gamble Box
311;bxcsb57;52120157;Hunger Beast Earring Gamble Box
312;bxcsb58;52120158;Hunger Beast Earring Gamble Box
313;bxcsb59;52120159;Hunger Beast Earring Gamble Box
314;bxcsb60;52120160;Earring Gamble Box of Wiggled Beast Life
315;bxcsb61;52120161;Earring Gamble Box of Wiggled Beast Life
316;bxcsb62;52120162;Earring Gamble Box of Wiggled Beast Life
317;bxcsb63;52120163;Earring Gamble Box of Fierce Beast
318;bxcsb64;52120164;Earring Gamble Box of Fierce Beast
319;bxcsb65;52120165;Earring Gamble Box of Fierce Beast
320;bxcsb66;52120166;Exiled Plunderer's Earring Gamble Box
321;bxcsb67;52120167;Exiled Plunderer's Earring Gamble Box
322;bxcsb68;52120168;Exiled Plunderer's Earring Gamble Box
323;bxcsb69;52120169;Earring Gamble Box of Fierce Beast
324;bxcsb70;52120170;Earring Gamble Box of Fierce Beast
325;bxcsb71;52120171;Earring Gamble Box of Fierce Beast
326;bxcsb72;52120172;Dead Exile's Ring Gamble Box
327;bxcsb73;52120173;Dead Exile's Ring Gamble Box
328;bxcsb74;52120174;Dead Exile's Ring Gamble Box
329;bxres01;61041201;Red Stone Box
330;bxbul01;51140B01;Intense Projectile Box
331;bxbul02;51140B02;Intense Projectile Box
332;bxbul03;51140B03;Intense Projectile Box
333;bxcjh02;52090702;Blood booster part box
334;bxcjh03;52090703;Aiming Booster part Box
335;bxcsc01;52120201;Small Favor Protection Box 
336;bxcsc02;52120202;Medium Favor Protection Box 
337;bxcsc03;52120203;Large Favor Protection Box 
338;bxcsc04;52120204;Small Favor Protection Box 
339;bxcsc05;52120205;Medium Favor Protection Box 
340;bxcsc06;52120206;Large Favor Protection Box 
341;bxcsc07;52120207;Small Favor Protection Box 
342;bxcsc08;52120208;Medium Favor Protection Box 
343;bxcsc09;52120209;Large Favor Protection Box 
344;bxcjh04;52090704;Superior Option Changer Box
345;bxgol01;560E0B01;Hero gold box
346;bxgol02;560E0B02;Beginner's gold box 30Lv
347;bxgol03;560E0B03;Shiny gold box
348;bxgol04;560E0B04;Gold bar box
349;bxgol05;560E0B05;Beginner's gold box 40Lv
350;bxbwc57;51160257;Union Warrior RewardBox 57LV
351;bxbrc57;51110257;Union Ranger RewardBox 57LV
352;bxbfc57;51050257;Union Force RewardBox 57LV
353;bxcwc57;52160257;Alliance Warrior RewardBox 57LV
354;bxcrc57;52110257;Alliance Ranger RewardBox 57LV
355;bxcfc57;52050257;Alliance Force RewardBox 57LV
356;bxawc57;50160257;Empire Warrior RewardBox 57LV
357;bxarc57;50110257;Empire Ranger RewardBox 57LV
358;bxafc57;50050257;Empire Launcher RewardBox Lv57
359;bxbwc60;51160260;Union Warrior RewardBox 60LV
360;bxbrc60;51110260;Union Ranger RewardBox 60LV
361;bxbfc60;51050260;Union Force RewardBox 60LV
362;bxcwc60;52160260;Alliance Warrior RewardBox 60LV
363;bxcrc60;52110260;Alliance Ranger RewardBox 60LV
364;bxcfc60;52050260;Alliance Force RewardBox 60LV
365;bxawc60;50160260;Empire Warrior RewardBox 60LV
366;bxarc60;50110260;Empire Ranger RewardBox 60LV
367;bxafc60;50050260;Empire Launcher RewardBox Lv60
368;bxbwc63;51160263;Union Warrior RewardBox 63LV
369;bxbrc63;51110263;Union Ranger RewardBox 63LV
370;bxbfc63;51050263;Union Force RewardBox 63LV
371;bxcwc63;52160263;Alliance Warrior RewardBox 63LV
372;bxcrc63;52110263;Alliance Ranger RewardBox 63LV
373;bxcfc63;52050263;Alliance Force RewardBox 63LV
374;bxawc63;50160263;Empire Warrior RewardBox 63LV
375;bxarc63;50110263;Empire Ranger RewardBox 63LV
376;bxafc63;50050263;Empire Launcher RewardBox Lv63
377;bxbwc65;51160265;Union Warrior RewardBox 65LV
378;bxbrc65;51110265;Union Ranger RewardBox 65LV
379;bxbfc65;51050265;Union Force RewardBox 65LV
380;bxcwc65;52160265;Alliance Warrior RewardBox 65LV
381;bxcrc65;52110265;Alliance Ranger RewardBox 65LV
382;bxcfc65;52050265;Alliance Force RewardBox 65LV
383;bxawc65;50160265;Empire Warrior RewardBox 65LV
384;bxarc65;50110265;Empire Ranger RewardBox 65LV
385;bxafc65;50050265;Empire Launcher RewardBox Lv65
386;bxron01;610E0D01;Leon's Lucky Box
387;bxron02;610E0D02;Leon's Lucky Box
388;bxron03;610E0D03;Leon's Lucky Box
389;bxron04;610E0D04;Leon's Lucky Box
390;bxron05;610E0D05;Leon's Lucky Box
391;bxron06;610E0D06;Leon's Lucky Box
392;bxron07;610E0D07;Leon's Lucky Box
393;bxron08;610E0D08;Leon's Lucky Box
394;bxron09;610E0D09;Leon's Lucky Box
395;bxeup01;54140F01;Blessed Jewery Box
396;bxeup02;54140F02;Blessed Jewery Box
397;bxeup03;54140F03;Blessed Jewery Box
398;bxbbb01;51010101;Lottery Box[Jade]
399;bxbbb02;51010102;Lottery Box[Cham&Generator]
400;bxbbb03;51010103;Lottery Box[Cham&Generator]
401;bxbbb04;51010104;Lottery Box[Cham&Generator]
402;bxbbb05;51010105;Lottery Box[Cash]
403;bxbbb06;51010105;Lottery Box[Cash]
404;bxbbb07;51010105;Lottery Box[Cash]
405;bxsau01;62001401;Superior Lucky Box <Small>
406;bxsau02;62001402;Superior Lucky Box <Medium>
407;bxsau03;62001403;Superior Lucky Box <Large>
408;bxsau04;62001404;Superior Lucky Box <Small>
409;bxsau05;62001405;Superior Lucky Box <Medium>
410;bxsau06;62001406;Superior Lucky Box <Large>
411;bxsau07;62001407;Superior Lucky Box <Small>
412;bxsau08;62001408;Superior Lucky Box <Medium>
413;bxsau09;62001409;Superior Lucky Box <Large>
414;bxeup04;54140F04;Blessed lucky Jeweiry Box
415;bxeup05;54140F05;Blessed lucky Jeweiry Box
416;bxeup06;54140F06;Blessed lucky Jeweiry Box
